country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
AUS,Australia,Adelaide Showgrounds,1,-34.9453,138.5882,Solar,,,,,Adelaide Showgrounds,,Australian Renewable Energy Mapping Infrastructure,1.63
AUS,Australia,Albany Wind Farm,21.6,-35.0641,117.7977,Wind,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Amcor Gawler,4,-34.5509,138.7659,Oil,,,,,Energy Response,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Angaston,50,-34.5034,139.0246,Oil,,,,,Infratil Energy Australia Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Anglesea,165,-38.3861,144.1828,Coal,,,,,Alcoa of Australia Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Angurugu,3.6,-13.8584,136.4209,Oil,,,,,BHP,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Appin (Mine),55.6,-34.2082,150.7722,Gas,,,,,Energy Developments CSM (NSW) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Ararat Wind Farm,240,-37.2385,143.0794,Wind,,,,,Renewable Energy Systems Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Argyle Diamond Mine,32,-16.7162,128.4031,Oil,,,,,Rio Tinto - Argyle Diamond Mines,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bairnsdale,94,-37.8429,147.5639,Gas,,,,,Alinta DEBO,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Ballarat Base Hospital,3,-37.5596,143.8469,Gas,,,,,Ballarat Base Hospital,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Banimboola,12.85,-36.5344,147.4594,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,43.38
AUS,Australia,Bankstown Sports Club,2,-33.9197,151.0332,Oil,,,,,Bankstown Sports Club,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bannerton Solar Farm,88,-34.6899,142.7452,Solar,,,,,Foresight Solar Australia,,Australian Renewable Energy Mapping Infrastructure,181.99
AUS,Australia,Barcaldine (Len Wishaw),37,-23.5525,145.3142,Gas,,,,,Ergon Energy Qld Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Barcaldine KDB,20,-23.549,145.318,Solar,,,,,,,Wiki-Solar,47.33
AUS,Australia,Barcaldine YD,10.9,-23.5388,145.2732,Solar,,,,,,,Wiki-Solar,25.06
AUS,Australia,Barron Gorge,60,-16.8502,145.6465,Hydro,,,,,Stanwell Corporation Ltd,,Australian Renewable Energy Mapping Infrastructure,147.07
AUS,Australia,Bastyan,79.9,-41.736,145.5321,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,253.11
AUS,Australia,Bayswater,2640,-32.3953,150.9491,Coal,,,,,Macquarie Generation,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Belconnen,1,-35.2142,148.9872,Waste,,,,,EDL LFG ACT Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bell Bay (Bell Bay Three),115,-41.1429,146.903,Gas,,,,,Aurora Energy Tamar Valley Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bendeela (Shoalhaven Scheme),240,-34.7337,150.4669,Hydro,,,,,Origin Energy,,Australian Renewable Energy Mapping Infrastructure,374.78
AUS,Australia,Berrimah,10,-12.4262,130.9195,Gas,,,,,NT Government,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Berwick,7.2,-38.1197,145.2665,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Beryl AU,87,-32.353,149.468,Solar,,,,,,,Wiki-Solar,192.94
AUS,Australia,Bidyadanga,1.3,-18.6816,121.7848,Oil,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Blayney Wind Farm,9.9,-33.6219,149.1982,Wind,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Blowering,70,-35.3986,148.2463,Hydro,,,,,Snowy Hydro Ltd,,Australian Renewable Energy Mapping Infrastructure,208.64
AUS,Australia,Blue Lake Milling Power Plant,1,-36.3164,140.7575,Oil,,,,,Vibe Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bluff Point (Woolnorth) Wind Farm,65,-40.7207,144.6869,Wind,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Boco Rock,113,-36.5763,149.1267,Wind,,,,,Boco Rock Wind Farm Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bodangora Wind Farm,113,-32.4146,149.0998,Wind,,,,,Infigen Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bogong (Mount Beauty Hydro Scheme),300,-36.8055,147.228,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,695.17
AUS,Australia,Braemar 1,504,-27.1109,150.9053,Gas,,,,,Alinta Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Braemar 2,519,-27.1128,150.9049,Gas,,,,,Arrow Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bremer Bay Diesel Backup,1.3,-34.4018,119.3888,Oil,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Brewer,8.5,-23.8817,133.8281,Gas,,,,,Central Energy Power,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Brisbane BNE,6,-27.404,153.11,Solar,,,,,,,Wiki-Solar,12.63
AUS,Australia,Broadmeadows,12.2,-37.6878,144.9663,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broadwater,38,-29.0118,153.4335,Biomass,,,,,NSW Sugar Milling,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broken Hill,50,-31.9863,141.4203,Gas,,,,,Essential Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broken Hill Solar Plant,53,-31.9867,141.3915,Solar,,,,,AGL Energy,,Australian Renewable Energy Mapping Infrastructure,113.92
AUS,Australia,Brooklyn,2.83,-37.818,144.8319,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broome,39.6,-17.981,122.2046,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Brown Mountain,4.95,-36.5951,149.474,Hydro,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,10.88
AUS,Australia,Browns Plains,2.2,-27.6721,153.0663,Waste,,,,,Energy Developments LFG (Qld) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bulwer Island,33,-27.4036,153.1363,Gas,,,,,ATCO and Origin Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bungala I,110,-32.427,137.838,Solar,,,,,,,Wiki-Solar,259.65
AUS,Australia,Bungala II,110,-32.408,137.841,Solar,,,,,,,Wiki-Solar,259.65
AUS,Australia,Burrendong,19,-32.6646,149.108,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,56.55
AUS,Australia,Burrinjuck Power Station,27,-35.0025,148.5834,Hydro,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,82.15
AUS,Australia,Burrup Peninsula (Karratha Gas Plant),240,-20.6286,116.7821,Gas,,,,,Woodside Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Burrup Peninsula (Pluto Phase 1),160,-20.5937,116.7802,Gas,,,,,Woodside Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Butlers Gorge,14.4,-42.2669,146.2618,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,51.53
AUS,Australia,CSIRO Energy Centre,1.5,-32.8835,151.7275,Solar,,,,,CSIRO,,Australian Renewable Energy Mapping Infrastructure,3.04
AUS,Australia,Callide A,30,-24.334,150.628,Coal,,,,,CS Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Callide B,700,-24.3449,150.6197,Coal,,,,,CS Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Callide C,840,-24.3449,150.6182,Coal,,,,,CS Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Camballin,1.04,-18.0278,124.1621,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Canning Vale,4,-32.0739,115.8914,Waste,,,,,Landfill Gas and Power Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cannington Mine,40,-21.8601,140.9158,Gas,,,,,BHP Billiton,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Canunda Wind Farm,46,-37.7603,140.4033,Wind,,,,,International Power - GDF Suez Australia,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Bridgewater Wind Farm,58,-38.3577,141.385,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Lambert,105,-20.6488,117.1407,Gas,,,,,Rio Tinto Australia Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Nelson North Wind Farm,22,-38.3676,141.543,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Nelson South Wind Farm,44,-38.412,141.543,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Preston,450,-21.0767,116.159,Gas,,,,,Citic Pacific Mining,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Sir William Grant Wind Farm,54,-38.3976,141.6209,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Capital Hill Wind Farm,140,-35.166,149.5186,Wind,,,,,Infigen Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Capral (Aluminium Smelter),300,-32.7897,151.4813,Gas,,,,,Capral Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Carnarvon,15,-24.8692,113.6754,Gas,,,,,,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Catagunya,48,-42.4524,146.5977,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,150.4
AUS,Australia,Cathedral Rocks Wind Farm,66,-34.8509,135.5852,Wind,,,,,TRUenergy & Acciona Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cawse Nickel Mine,21,-30.3808,121.1635,Gas,,,,,,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cethana,85,-41.4787,146.1349,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,265.85
AUS,Australia,Challicum Hills Wind Farm,52.5,-37.3898,143.114,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Channel Island,310,-12.555,130.8666,Gas,,,,,NT Government,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Charlestown Square,2.8,-32.9643,151.6936,Gas,,,,,GPT RE Limited,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Childers,75,-25.28,152.38,Solar,,,,,,,Wiki-Solar,181.88
AUS,Australia,Christmas Creek Iron Ore Mine,58,-22.399,119.732,Oil,,,,,Contract Power Holdings,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Clare Solar Farm,130,-19.8398,147.2105,Solar,,,,,FRV-Fotowatio Renewable Ventures,,Australian Renewable Energy Mapping Infrastructure,312.1
AUS,Australia,Claytons,11,-37.9502,145.1187,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Clements Gap Wind Farm,57,-33.5086,138.1192,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Clermont Solar Farm,100,-22.8446,147.5855,Solar,,,,,,,Australian Renewable Energy Mapping Infrastructure,243.23
AUS,Australia,Cloudbreak,44,-22.3247,119.404,Oil,,,,,Contract Power,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Clover,30,-36.7853,147.2205,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,82.27
AUS,Australia,Cluny,17,-42.5064,146.6812,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,73.02
AUS,Australia,Cockburn,240,-32.2001,115.7737,Gas,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Codrington Wind Farm,18.2,-38.2835,141.9547,Wind,,,,,Energy Pacific (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Collgar Wind Farm,206,-31.5432,118.4566,Wind,,,,,UBS IIT/ REST,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Collie (Bluewaters),416,-33.331,116.229,Coal,,,,,Griffin Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Collie A,340,-33.3422,116.2612,Coal,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Collinsville,190,-20.5447,147.8049,Coal,,,,,RATCH Australia,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Collinsville Solar Farm,42,-20.5411,147.8074,Solar,,,,,RATCH Australia Corporation Limited,,Australian Renewable Energy Mapping Infrastructure,100.69
AUS,Australia,Colongra,724,-33.2099,151.5448,Gas,,,,,Delta Electricity,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Condamine A,144,-26.6682,150.27,Gas,,,,,Queensland Gas Company,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Condong Sugar Mill,30,-28.3138,153.4341,Biomass,,,,,Delta Electricity,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Copeton,24,-29.9102,150.9235,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,53.84
AUS,Australia,Coral Bay Diesel Backup,2.24,-23.1521,113.7762,Oil,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Corio,1,-38.0587,144.4056,Waste,,,,,EDL LFG Vic Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Crookwell Wind Farm,4.8,-34.5165,149.5425,Wind,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Crowlands Wind Farm,80,-37.1216,143.1537,Wind,,,,,Pacific Hydro,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cullerin Range Wind Farm,30,-34.805,149.4001,Wind,,,,,Origin Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Daandine,33,-27.0863,150.943,Gas,,,,,Energy Infrastructure Investments Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Dampier,120,-20.648,116.7219,Gas,,,,,Rio Tinto Australia Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Darling Downs,644,-27.1169,150.8942,Gas,,,,,Origin Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Darling Downs Solar Farm,110,-27.1169,150.8942,Solar,,,,,APA Group,,Australian Renewable Energy Mapping Infrastructure,266.79
AUS,Australia,Darlot Gold Mine,11.7,-27.8972,121.2698,Gas,,,,,Barrick Gold,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Dartmouth (Mount Beauty Hydro Scheme),150,-36.5564,147.5206,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,421.46
AUS,Australia,Darwin DRW,4,-12.4157,130.8908,Solar,,,,,,,Wiki-Solar,7.75
AUS,Australia,Daydream Solar Farm,50,-20.4947,147.7707,Solar,,,,,Edify Energy,,Australian Renewable Energy Mapping Infrastructure,119.47
AUS,Australia,DeGrussa,10.6,-25.55,119.317,Solar,,,,,,,Wiki-Solar,24.17
AUS,Australia,Denham Diesel Backup,1.6,-25.9167,113.534,Oil,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Derby,12.53,-17.3141,123.6441,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Devils Gate,60,-41.3505,146.2632,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,187.66
AUS,Australia,Diamantina,242,-20.7837,139.4833,Gas,,,,,APA Group and AGL Energy Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Dry Creek,156,-34.8475,138.5818,Gas,,,,,Synergen Power,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Dubbo,30,-32.273,148.658,Solar,,,,,,,Wiki-Solar,68.35
AUS,Australia,EarthPower Biomass Plant,3.9,-33.8204,151.042,Waste,,,,,Earthpower Technologies Sydney Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Eastern Creek,5.4,-33.8142,150.8537,Waste,,,,,Energy Developments LFG(NSW) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Eastern Creek 2,8.984,-33.8125,150.8617,Waste,,,,,LMS Energy Generation Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Eildon,120,-37.222,145.9215,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,328.41
AUS,Australia,Eildon Small Hydro,5,-37.2431,145.8974,Hydro,,,,,Pacific Hydro Investments Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,17.26
AUS,Australia,Elliott,1,-17.5504,133.5393,Oil,,,,,Territory Generation,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Emerald Solar Farm,68,-23.5084,148.1347,Solar,,,,,Lighthouse Solar Fund,,Australian Renewable Energy Mapping Infrastructure,168.44
AUS,Australia,Emu Downs,20,-30.489,115.416,Solar,,,,,,,Wiki-Solar,46.47
AUS,Australia,Emu Downs Wind Farm,79.2,-30.4882,115.3768,Wind,,,,,Griffin Energy & Stanwell Corporation Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Energy Brix,195,-38.2546,146.4137,Coal,,,,,Energy Brix (Aust) Corp,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Eraring,41.5,-33.0617,151.5223,Oil,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Esperance,33,-33.8762,121.8998,Gas,,,,,Infrastructure Capital Group,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Esperance Wind Farm Nine Mile Beach,3.6,-33.8927,121.7778,Wind,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Esperance Wind Farm Ten Mile Lagoon,2.03,-33.8802,121.769,Wind,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Exmouth,8,-21.9465,114.125,Gas,,,,,Burns and Roe Worley,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Fisher,43.2,-41.6732,146.2687,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,119.77
AUS,Australia,Fitzroy Crossing,4.06,-18.1956,125.5597,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Gannawarra Solar Farm,60,-35.6762,143.4553,Solar,,,,,Wirsol Edify Energy,,Australian Renewable Energy Mapping Infrastructure,109.02
AUS,Australia,Geraldton,21,-28.7701,114.6485,Gas,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,German Creek,45.2,-22.9281,148.5515,Gas,,,,,Energy Developments CSM (Qld) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Gladstone,1680,-23.8508,151.2187,Coal,,,,,GPS Joint Venture,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Glenbawn,5.8,-32.1097,150.9982,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,14.89
AUS,Australia,Glennies Creek,13,-32.4598,151.1286,Gas,,,,,EnviroGen Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Glenorchy,1.6,-42.8415,147.255,Waste,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Goondiwindi,4.5,-28.325,150.375,Solar,,,,,,,Wiki-Solar,8.53
AUS,Australia,Gordon,432,-42.7405,145.9828,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,809.18
AUS,Australia,Gosnells,1.1,-32.0228,116.0129,Waste,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Grange Avenue,2,-33.7029,150.8312,Waste,,,,,Energy Developments LFG (NSW) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Grasmere Wind Farm (Albany Stage II),13.8,-35.0507,117.7638,Wind,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Greenough River Solar Farm,10,-28.9043,115.1119,Solar,,,,,Verve Energy/GE Energy Financial Services JV,,Australian Renewable Energy Mapping Infrastructure,20.8
AUS,Australia,Griffith Solar Farm,36,-34.3155,146.1094,Solar,,,,,Neoen,,Australian Renewable Energy Mapping Infrastructure,73.95
AUS,Australia,Gullen,10,-34.61,149.476,Solar,,,,,,,Wiki-Solar,19.69
AUS,Australia,Gullen Range Wind Farm,165.5,-34.6149,149.4597,Wind,,,,,Tianrun Australia,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Gunning,47,-34.6977,149.3861,Wind,,,,,Acciona Energy Australia,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Guthega,80,-36.3501,148.4135,Hydro,,,,,Snowy Hydro Ltd,,Australian Renewable Energy Mapping Infrastructure,215.04
AUS,Australia,Hallam Road,8.984,-38.0535,145.2699,Waste,,,,,LMS Energy Generation Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Hallet 5 - The Bluff,52.5,-33.3855,138.7928,Wind,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Hallett,228.3,-33.3487,138.7517,Gas,,,,,TRUenergy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Hallett 1 Brown Hill Wind Farm,94.5,-33.3397,138.7323,Wind,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Hallett 2 Hallet Hill Wind Farm,71.4,-33.5226,138.8552,Wind,,,,,ANZ Energy Infrastructure Trust,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Halls Creek,3.69,-18.2328,127.6619,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Hamilton Solar Farm,69,-20.5048,147.7671,Solar,,,,,Edify Energy,,Australian Renewable Energy Mapping Infrastructure,165.3
